epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,549.681,0.95061,0.42729,1.02197,0.90112,0.78779,0.81683,0.53471,1.26582,0.50831,1.14265,0.00116461,0.00116461,0.00116461
71,558.229,0.98197,0.42448,1.03235,0.94845,0.79313,0.82483,0.54918,1.26922,0.5069,1.15765,0.00116337,0.00116337,0.00116337
72,566.641,0.94616,0.41772,1.00982,0.93077,0.78837,0.82295,0.57528,1.26374,0.49655,1.15367,0.00116214,0.00116214,0.00116214
73,575.215,0.92048,0.41477,0.99784,0.93441,0.78794,0.84178,0.56876,1.26718,0.50988,1.15809,0.0011609,0.0011609,0.0011609
74,583.676,0.92893,0.40883,1.00768,0.94618,0.78705,0.84053,0.56055,1.26555,0.5015,1.15394,0.00115966,0.00115966,0.00115966
75,592.176,0.9349,0.41871,1.02135,0.96224,0.78779,0.86039,0.56332,1.26055,0.49731,1.17113,0.00115843,0.00115843,0.00115843
76,600.665,0.94195,0.41612,1.01706,0.9696,0.79414,0.8472,0.58172,1.29505,0.50726,1.19542,0.00115719,0.00115719,0.00115719
77,609.138,0.90074,0.40998,1.00372,0.94062,0.78756,0.88309,0.5793,1.27837,0.51459,1.18697,0.00115595,0.00115595,0.00115595
78,617.652,0.90503,0.41508,1.01116,0.97553,0.79934,0.81878,0.58307,1.2921,0.50689,1.18537,0.00115471,0.00115471,0.00115471
79,626.051,0.91651,0.41467,0.99881,0.95079,0.78763,0.83548,0.60222,1.25889,0.50067,1.15992,0.00115348,0.00115348,0.00115348
80,634.497,0.92655,0.4197,1.01123,0.92491,0.76744,0.84497,0.59823,1.26109,0.51197,1.15411,0.00115224,0.00115224,0.00115224
81,642.936,0.90636,0.40597,1.00925,0.93574,0.74247,0.8032,0.57886,1.28968,0.53737,1.16837,0.001151,0.001151,0.001151
82,651.303,0.91379,0.40135,1.00941,0.97269,0.79386,0.81162,0.55155,1.28348,0.53472,1.18145,0.00114976,0.00114976,0.00114976
83,659.839,0.92936,0.40434,1.01818,0.95023,0.79907,0.86504,0.55863,1.28192,0.51459,1.17679,0.00114853,0.00114853,0.00114853
84,668.58,0.91021,0.40439,1.00442,0.94012,0.79047,0.83025,0.59655,1.2944,0.50442,1.18335,0.00114729,0.00114729,0.00114729
85,677.306,0.89825,0.40681,0.99554,0.93203,0.78404,0.8289,0.58995,1.26953,0.49924,1.16916,0.00114605,0.00114605,0.00114605
86,686.307,0.87821,0.39635,0.97832,0.95905,0.76567,0.87193,0.56608,1.28703,0.49689,1.17114,0.00114481,0.00114481,0.00114481
87,694.854,0.89056,0.40897,0.99722,0.96162,0.7696,0.86032,0.5601,1.27842,0.49568,1.17353,0.00114357,0.00114357,0.00114357
88,703.376,0.90989,0.40446,0.99411,0.94974,0.77481,0.82461,0.56656,1.27668,0.49142,1.18398,0.00114234,0.00114234,0.00114234
89,712.001,0.91948,0.40075,1.02188,0.94122,0.78664,0.83363,0.56872,1.28176,0.49488,1.19945,0.0011411,0.0011411,0.0011411
90,720.207,0.89044,0.39516,1.0107,0.85134,0.79934,0.84425,0.55737,1.28148,0.49705,1.19133,0.00113986,0.00113986,0.00113986
91,728.514,0.89217,0.39891,1.00046,0.87293,0.77293,0.83094,0.55343,1.26146,0.51344,1.18076,0.00113863,0.00113863,0.00113863
92,737.179,0.87517,0.38396,0.99441,0.97486,0.7895,0.81102,0.54696,1.27987,0.50531,1.19178,0.00113739,0.00113739,0.00113739
93,745.83,0.84358,0.37982,0.98476,0.95008,0.79748,0.81579,0.55119,1.28635,0.48698,1.20405,0.00113615,0.00113615,0.00113615
94,754.588,0.88718,0.38751,0.99849,0.94682,0.80227,0.8216,0.56409,1.26824,0.47688,1.17664,0.00113491,0.00113491,0.00113491
95,763.283,0.85589,0.39859,0.98251,0.84671,0.78317,0.83865,0.56851,1.28782,0.5561,1.19374,0.00113368,0.00113368,0.00113368
96,771.915,0.86829,0.38819,0.98819,0.84975,0.79351,0.81643,0.56577,1.29451,0.52517,1.19517,0.00113244,0.00113244,0.00113244
97,780.762,0.86606,0.39569,0.98835,0.93035,0.79131,0.81155,0.55254,1.29875,0.52422,1.20363,0.0011312,0.0011312,0.0011312
98,789.524,0.87662,0.39903,0.99454,0.90484,0.79522,0.81468,0.57678,1.29662,0.54664,1.19928,0.00112996,0.00112996,0.00112996
99,798.318,0.86378,0.38997,0.99798,0.90379,0.79796,0.81825,0.57236,1.2925,0.54629,1.21473,0.00112873,0.00112873,0.00112873
100,807.03,0.87594,0.39012,0.99619,0.91497,0.80227,0.81364,0.56419,1.30455,0.51234,1.20815,0.00112749,0.00112749,0.00112749
101,815.672,0.88578,0.39236,0.99938,0.89187,0.79879,0.81451,0.54956,1.27364,0.50535,1.20112,0.00112625,0.00112625,0.00112625
102,824.399,0.84412,0.38181,0.97321,0.91304,0.80373,0.82198,0.56759,1.29661,0.51747,1.2152,0.00112501,0.00112501,0.00112501
103,833.236,0.87151,0.37638,0.99129,0.91683,0.8031,0.81113,0.55287,1.29819,0.50862,1.21493,0.00112378,0.00112378,0.00112378
104,841.923,0.86912,0.38942,0.99263,0.94441,0.79774,0.80853,0.52973,1.29832,0.51452,1.19895,0.00112254,0.00112254,0.00112254
105,850.683,0.86113,0.38911,0.99241,0.92225,0.78627,0.8608,0.57103,1.26402,0.53766,1.18559,0.0011213,0.0011213,0.0011213
106,859.331,0.84558,0.38457,0.97991,0.94969,0.79788,0.84391,0.55717,1.30286,0.50212,1.19912,0.00112006,0.00112006,0.00112006
107,868.069,0.81992,0.3764,0.97367,0.9379,0.79602,0.81387,0.57362,1.28657,0.51245,1.18508,0.00111882,0.00111882,0.00111882
108,876.773,0.86482,0.38909,0.98876,0.91507,0.7605,0.83046,0.55859,1.29391,0.50443,1.19206,0.00111759,0.00111759,0.00111759
109,885.422,0.85842,0.38836,0.98467,0.88719,0.84189,0.87979,0.55223,1.30955,0.52388,1.21109,0.00111635,0.00111635,0.00111635
110,894.274,0.85557,0.38817,0.98672,0.88345,0.7927,0.81712,0.55451,1.2788,0.50204,1.18935,0.00111511,0.00111511,0.00111511
111,902.828,0.82677,0.38669,0.97427,0.85102,0.79086,0.83082,0.559,1.33402,0.56334,1.21916,0.00111388,0.00111388,0.00111388
112,911.446,0.8962,0.4025,1.00365,0.90511,0.74777,0.81774,0.58217,1.28435,0.59162,1.18782,0.00111264,0.00111264,0.00111264
113,920.117,0.84366,0.39294,0.97934,0.88374,0.74325,0.81303,0.56015,1.2822,0.55793,1.17072,0.0011114,0.0011114,0.0011114
114,928.729,0.84502,0.39034,0.97803,0.89373,0.74159,0.84643,0.54038,1.30487,0.56624,1.18911,0.00111016,0.00111016,0.00111016
115,937.536,0.84677,0.38243,0.98636,0.89642,0.7534,0.86128,0.55755,1.27819,0.52012,1.18267,0.00110892,0.00110892,0.00110892
116,946.151,0.84225,0.38278,0.98196,0.90063,0.77765,0.86361,0.56882,1.285,0.50041,1.19234,0.00110769,0.00110769,0.00110769
117,954.803,0.82807,0.37406,0.98196,0.95736,0.83558,0.91112,0.58014,1.29887,0.49372,1.2074,0.00110645,0.00110645,0.00110645
118,963.359,0.83917,0.37647,0.9874,0.92197,0.86259,0.93191,0.62641,1.29839,0.46045,1.19733,0.00110521,0.00110521,0.00110521
119,972.063,0.79795,0.3755,0.97411,0.90726,0.86536,0.91098,0.57324,1.3014,0.48288,1.22047,0.00110397,0.00110397,0.00110397
120,980.668,0.8262,0.36831,0.96815,0.86831,0.86216,0.89855,0.56112,1.29397,0.48314,1.19918,0.00110274,0.00110274,0.00110274
121,989.26,0.81985,0.36327,0.96094,0.89952,0.79113,0.85879,0.55265,1.30064,0.48841,1.19732,0.0011015,0.0011015,0.0011015
122,997.924,0.80752,0.35639,0.9586,0.89976,0.8622,0.88428,0.56971,1.30203,0.48863,1.19228,0.00110026,0.00110026,0.00110026
123,1006.58,0.82809,0.36496,0.97102,0.88476,0.85686,0.88491,0.59095,1.28773,0.48564,1.18756,0.00109903,0.00109903,0.00109903
124,1015.18,0.78305,0.3537,0.95459,0.92864,0.79761,0.81457,0.55932,1.28223,0.47825,1.18143,0.00109779,0.00109779,0.00109779
125,1023.82,0.83021,0.37027,0.97398,0.9479,0.79642,0.83016,0.55366,1.28357,0.46321,1.20716,0.00109655,0.00109655,0.00109655
