epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,3695.5,0.3652,0.21127,0.84104,0.94827,0.99565,0.97834,0.85549,0.58543,0.26026,1.06849,0.009472,0.009472,0.009472
162,3718.96,0.36609,0.21304,0.83468,0.9495,0.98581,0.98348,0.87277,0.56903,0.24727,1.0538,0.0094687,0.0094687,0.0094687
163,3742.35,0.36192,0.22388,0.84227,0.94708,0.97462,0.986,0.85263,0.58486,0.2651,1.05265,0.0094654,0.0094654,0.0094654
164,3765.79,0.35553,0.20748,0.83667,0.89359,0.96956,0.95143,0.80957,0.57837,0.26151,1.05473,0.0094621,0.0094621,0.0094621
165,3789.1,0.36329,0.21325,0.8371,0.93184,0.96904,0.98345,0.83889,0.5866,0.25189,1.05216,0.0094588,0.0094588,0.0094588
166,3812.55,0.35289,0.21469,0.82344,0.98002,0.97228,0.99161,0.84399,0.58775,0.25306,1.04698,0.0094555,0.0094555,0.0094555
167,3836.07,0.36342,0.22493,0.83571,0.99543,0.98963,0.99455,0.85747,0.56219,0.23702,1.04169,0.0094522,0.0094522,0.0094522
168,3859.38,0.36242,0.21909,0.83621,0.98209,0.9687,0.99019,0.8398,0.57113,0.24596,1.04661,0.0094489,0.0094489,0.0094489
169,3882.7,0.35431,0.21724,0.83174,0.9682,0.97363,0.99119,0.83955,0.58192,0.25224,1.06754,0.0094456,0.0094456,0.0094456
170,3905.96,0.34789,0.21757,0.8348,0.96344,0.99056,0.98609,0.85887,0.5637,0.24711,1.0659,0.0094423,0.0094423,0.0094423
171,3929.27,0.35131,0.21355,0.84279,0.98326,0.98893,0.99441,0.85926,0.56532,0.25086,1.05927,0.009439,0.009439,0.009439
172,3952.6,0.35982,0.20637,0.84582,0.95483,0.97191,0.96074,0.83861,0.54605,0.24261,1.04749,0.0094357,0.0094357,0.0094357
